bill_subject,number_of_bills
"Civil rights and liberties, minority issues",1699
Civil rights legislation,11
Civil service pensions,160
Civil service reform,1
Civil service retirement,183
Civil service system,40
Claims,160
Class actions (Civil procedure),7
Classified defense information,15
Clergy,4
Climate,19
Clothing industry,6
Coal,213
Coal research,9
Coast guard,40
Coastal zone,57
Coastwise shipping,29
Cobalt,1
Coffee,16
Coins and coinage,82
Collection of accounts,25
Collective bargaining,59
Collective bargaining in government,11
Collective bargaining unit,9
Collective security,4
Collective security agreements,20
College administration,1
College and school journalism,1
College costs,11
College libraries,3
College sports,2
Colleges,16
Colonial affairs,10
Columbia River development,1
Combat vehicles,1
Commemorations,6716
Commerce,2787
Commercial aircraft,7
Commercial arbitration,4
Commercial blacklisting,7
Commercial finance companies,3
Commercial law,5
Commodity agreements,2
Commodity control,15
Commodity exchanges,25
Commodity tax straddles,1
Common carriers,44
Communicable diseases,2
Communication in science,1
Communication policy,4
Communication satellites,9
Communists,2
Community and school,9
Community centers,6
Community colleges,2
Community development,63
Community development corporations,8
Community health services,6
Community life,2
Community organization,5
Community schools,24
Commuter tax,2
Commuting,4
Compensation (Law),2
Compensation for victims of crime,77
Compensatory education,6
Competition,4
Comprehensive health care,32
Compressed natural gas,3
Compulsory military service,70
Compulsory nonmilitary service,5
Computer crimes,17
Computer industry,5
Computer networks,1
Computer programming,3
Computer-assisted instruction,4
Computers,2
Concentration camps,4
Condominium (Housing),46
Conduct of court proceedings,1
Conferences,51
Confidential communications,3
Confidential funding (Federal budgets),3
Conflict of interests,20
Congress,7381
Congress and foreign policy,19
Congress and military policy,1
Congressional Medal of Honor,20
Congressional Record,52
Congressional agencies,60
Congressional allowances,34
Congressional budget,182
Congressional candidates,2
Congressional caucuses,1
Congressional committee chairmen,2
Congressional committee jurisdiction,1
Congressional committee staffing,5
Congressional committees,41
Congressional committees (House),1194
Congressional committees (Senate),597
Congressional conference committees,27
Congressional delegations,10
Congressional districts,17
Congressional elections,44
Congressional employees,216
Congressional ethics,16
Congressional fellows,23
Congressional hearings,8
Congressional information resources,10
Congressional investigations,54
Congressional joint committees,163
Congressional leadership,31
Congressional legal counsel,26
Congressional newsletters and questionnaires,3
Congressional office buildings,8
Congressional oversight,143
Congressional pages,5
Congressional party organization,6
Congressional privileges and immunities,101
Congressional publications,29
Congressional publicity,1
Congressional reorganization,7
Congressional salaries and pensions,328
Congressional sessions,208
Congressional terms of office,58
Congressional travel,97
Congressional tributes,1070
Congressional veto,16
Congressional voting,2
Congressional-Presidential relations,98
Congressional-executive relations,134
Congressional-judicial relations,7
Conscientious objectors,14
Conservation of natural resources,87
Conspiracy,4
Constitutional amendments,502
Constitutional conventions,27
Constitutional law,8
Constitutions,13
Construction costs,1
Construction industries,10
Construction workers,12
Consular agreements,1
Consumer cooperatives,5
Consumer credit,64
Consumer education,7
Consumer organizations,1
Consumer price indexes,16
Consumer protection,610
Containerization,7
Contempt of court,5
Contempt of legislative bodies,8
Contested elections,14
Continental shelf,61
Continuing education,3
Contraceptives,5
Contracts,10
Conversion of educational facilities,7
Conversion of electric power plants to coal,9
Conversion of industries,8
Convulsions,13
Cooperative housing,12
Cooperative societies,2
Copper,15
Copyright,233
Copyright royalties,4
Corn,2
Corporate divestiture,3
Corporate finance,3
Corporate mergers,9
Corporate reorganizations,1
Corporation directors,5
Corporation law,1
Corporation taxes,125
Corporations,18
Correctional institutions,29
Correctional personnel,7
Corrections,165
Cosmetics,14
Cost control,1
Cost effectiveness,1
Cost of living,21
Cost of living adjustments,25
Cotton,21
Counseling,1
Counterfeiting,8
Counterintelligence,2
County politics and government,10
Court congestion and delay,2
Court records,3
Courthouses,2
Courts of special jurisdiction,7
Courts-martial and courts of inquiry,3
Credit,117
Credit cards,25
Credit controls,15
Credit insurance,1
Credit unions,35
Crime and law enforcement,7533
Crime prevention,36
Crimes aboard aircraft,4
Crimes against the elderly,20
Crimes without victims,2
Criminal investigation,88
Criminal justice information,17
Criminal justice information systems,1
Criminal law,108
Criminal liability,1
Criminal procedure,468
Criminal statistics,1
Cultural centers,51
Cultural relations,13
Curricula,3
Custody of children,24
Customs administration,41
Dairy industry,10
Dairy products,112
Dams,164
Data banks,4
Day care,39
Day care centers for the aged,1
Deaf,19
Debt,1
Debt agreements,43
Debtor and creditor,5
Deceptive advertising,4
Declaration of war,5
Deep water ports,8
Defective products,1
Defense budgets,59
Defense contracts,46
Defense industries,13
Defense procurement,34
Delinquency prevention,1
Democracy,1
Dental care,13
Department of Agriculture,1
Department of Justice,1
Department of the Interior,4
Depletion allowances,39
Deportation,51
Deposit insurance,21
Depreciation and amortization,51
Depressed areas,14
Desegregation in education,53
Desertion,1
Deserts,10
Destroyers,2
Destruction of property,21
Detention of persons,2
Detergents,1
Developing countries,1
Development credit institutions,29
Diabetes,39
Diamonds,2
Diet,1
Digestive diseases,6
Diplomacy,8
Diplomatic privileges and immunities,31
Diplomats,39
Direct mail advertising,9
Disability evaluation,11
Disability insurance,17
Disability retirement,3
Disabled,293
Disaster insurance,28
Disaster relief,182
Disasters,219
Discrimination,4
Discrimination in consumer credit,13
Discrimination in employment,73
Discrimination in insurance,13
Diseases,30
Dismissal of employees,6
Dismissal wage,4
Displaced homemakers,2
Dispute settlement,5
District courts,28
District of Columbia,249
Dividend tax,1
Dividends,6
Docks,1
Domestic relations,72
"Donation of organs, tissues, etc.",2
Drainage,3
Dredging,15
Driver education,5
Driver licenses,4
Droughts,17
Drug abuse,137
Drug abuse prevention,16
Drug adulteration,9
Drug advertising,10
Drug industry,79
Drug law and legislation,60
Drugs,430
Drugs and the aged,6
Drugs and youth,1
Drugstores,2
Drunk driving,12
Dry farming,3
Dumping,23
Dunes,5
Dyes and dyeing,2
Earth,1
Earth resources satellites,4
Earth science research,7
Earth sciences,4
Earthquakes,27
Easements,3
Eavesdropping,1
Ecology,3
Economic assistance,10
Economic development,36
Economic impact statements,7
Economic stabilization,99
Economic statistics,14
Economics and public finance,3072
Education,5834
Education of Indians,22
Education of handicapped children,47
Education of socially handicapped children,10
Educational accountability,1
Educational counseling,6
Educational equalization,8
Educational exchanges,22
Educational facilities,22
Educational finance,52
Educational innovations,1
Educational policy,26
Educational statistics,1
Educational technology,6
Educational television,3
Educational tests,5
Election Day,9
Election administration,28
Election candidates,6
Election law,94
Electoral college,4
Electric appliances,6
Electric automobiles,2
Electric batteries,2
Electric power,89
Electric power distribution,2
Electric power failures,1
Electric power production,25
Electric power transmission,4
Electric utilities,61
Electric utility rates,29
Electric vehicles,6
Electronic data processing,2
Electronic funds transfers,15
Electronic industries,1
Electronic surveillance,44
Elementary and secondary education,754
Embargo,28
Embassies,8
Emblems,143
Emergency management,1539
Emergency medical services,48
Emigration,17
Eminent domain,16
Employee benefit plans,229
Employee ownership,19
Employee rights,18
Employee-management relations in government,9
Employers' liability,2
Employment agencies,13
Employment of the handicapped,30
Employment subsidies,1
Endangered species,41
Energy,3551
Energy assistance for the poor,26
Energy conservation,188
Energy demand,1
Energy development,2
Energy efficiency,7
Energy facilities,10
Energy facility sites,1
Energy industries,15
Energy policy,178
Energy prices,124
Energy research,85
Energy shortages,10
Energy storage,1
Energy supplies,13
Energy tax credits,33
Energy transportation,5
Engineering,2
English language,4
Enlisted personnel,1
Enterprise zones,11
Entertainers,2
Environmental assessment,8
Environmental education,9
Environmental health,2
Environmental law and legislation,6
Environmental monitoring,1
Environmental protection,5184
Equal pay for equal work,7
Equal time rule,9
Equality before the law,1
Eskimos,1
Espionage,1
Estate tax,388
Ethics,5
Evidence (Law),12
Ex-offenders,4
Ex-presidents,11
Exceptional children,2
Excess profits tax,117
Exchange of persons programs,9
Excise tax,390
Executive agreements,5
Executive compensation,5
Executive impoundment of appropriated funds,342
Executive orders,1
Executive power,2
Executive privilege,7
Executive reorganization,334
Exhibitions,7
Expenditure tax,2
Explosives,37
Export controls,116
Export credit,45
Export trading companies,4
Exports,151
Expropriation,4
Extended care facilities,27
Extortion,3
Extradition,11
Extraterritoriality,1
Eye care,5
Eye diseases,3
Fairness doctrine,3
Families,1350
Family enterprises,1
Family farms,37
Family policy,9
Family violence,13
Famines,1
Farm income,7
Farm lands,15
Farm manure,1
Farm ownership,6
Farm produce,78
Farm production quotas,1
Farmland loss,1
Farms,6
Federal Reserve System,2
Federal advisory bodies,193
Federal aid highway program,60
Federal aid programs,94
Federal aid to Indians,19
Federal aid to air pollution control,3
Federal aid to alcoholism programs,2
Federal aid to child health services,7
Federal aid to child welfare,2
Federal aid to cities,6
Federal aid to community development,34
Federal aid to day care centers,3
Federal aid to education,235
Federal aid to handicapped services,9
Federal aid to health facilities,21
Federal aid to higher education,78
Federal aid to hospitals,8
Federal aid to housing,151
Federal aid to law enforcement agencies,34
Federal aid to libraries,15
Federal aid to medical education,40
Federal aid to museums,6
Federal aid to outdoor recreation,1
Federal aid to research,4
Federal aid to the arts and humanities,16
Federal aid to transportation,14
Federal aid to vocational education,19
Federal aid to water pollution control,6
Federal aid to water resources development,9
Federal budgets,1385
Federal employees,2073
Federal employees and officials,5
Federal enclaves,3
Federal home loan banks,2
Federal incorporation,434
Federal installations,31
Federal office buildings,149
Federal officials,393
Federal receipts and expenditures,9
Federal reserve system,162
Federal-Indian relations,26
Federal-city relations,8
Federal-local relations,9
Federal-state relations,24
Federally-assisted loans,3
Federally-guaranteed loans,6
Feed grain program,15
Feeds,11
Fertilizers,46
Fetus,5
Filipino Americans,2
Finance and financial sector,4572
Finance charges,4
Financial disclosure,100
Financial institutions,22
Financial statements,9
Fines (Penalties),7
Fingerprints,3
Fire departments,36
Fire fighters,62
Fire insurance,5
Fire prevention,125
Firearms,354
Firearms control,470
Fires,87
Fireworks,1
Fiscal policy,55
Fiscal year,22
Fish culture,3
Fish processing ships,6
Fisheries,492
Fishery agreements,30
Fishery management,67
Fishery products,7
Fishes,11
Fishing,35
Fishing boats,50
Flags,19
Flammable materials,11
Flat-rate tax,21
Flexible work hours,1
Flight crews,1
Flight training,2
Flood control,259
Flood damage,1
Flood damage prevention,4
Flood insurance,65
Floods,15
Food additives,144
Food adulteration and inspection,44
Food contamination,2
Food handling,1
Food industry,28
Food irradiation,4
Food prices,8
Food relief,84
Food spoilage,1
Food stamps,347
Food supply,20
Football,1
Foreclosure,2
Foreign agents,3
Foreign banks and banking,7
Foreign corporations,3
Foreign correspondents,2
Foreign economic relations,13
Foreign exchange,1
Foreign investments,101
Foreign loans,16
Foreign ownership of real property,3
Foreign service,40
Foreign students,5
Foreign trade and international finance,13162
Foreign trade policy,86
Foreign trade promotion,12
Foreign trade regulation,20
Foreign-trained physicians,8
Forest conservation,5
Forest fires,1
Forest management,64
Forest products,26
Forest roads,1
Forestry education,1
Forestry law and legislation,3
Forestry research,13
Forests and forest products,3
Forests and forestry,328
Forfeiture,9
Forgery,2
Fossil fuels,1
Foundations,43
Fourth of July,2
Franchises (Retail trade),45
Franking privilege,37
Fraternal organizations,5
Fraud,5
Free ports and zones,3
Freedom of information,204
Freedom of the press,50
Freight,9
Freight forwarders,4
Fringe benefits,17
Fruit and fruit trade,14
Fuel,40
Fuel allocation,92
Fuel consumption,9
Fuel research,9
Fugitives from justice,1
Full employment policies,4
Funeral industry,2
Fungicides,1
Futures research,1
Futures trading,3
Gambling,76
Game and game birds,4
Gardening,7
Garnishment,12
Gas appliances,1
Gas industry,3
Gas pipelines,12
Gases,1
Gasoline,56
Gasoline tax,41
Gay rights,7
Genetic engineering,1
Genetic research,17
Genocide,21
Geology,1
Geothermal power plants,2
Geothermal resources,45
Geriatric nursing,7
Geriatrics,9
German Americans,1
Gerontology,2
Gift tax,22
Gifted children,10
Gifts,1
Girl Scouts,2
Glass and glass industry,6
Gold,86
Gold reserves,3
Gold standard,2
Government and business,11
Government and the press,1
Government attorneys,20
Government consultants,7
Government contractors,9
Government corporations,100
Government employee unions,4
Government employees' health insurance,57
Government employees' life insurance,15
Government employees' political activities,16
Government internships,31
Government lending,7
Government liability,181
Government liability (International law),42
Government life insurance,21
Government litigation,20
Government officials,4
Government operations and politics,11415
Government paperwork,162
Government procurement,105
Government property,113
Government publications,260
Government publicity,3
"Government records, documents, and information",4
Government regulation,18
Government securities,55
Government service contracts,9
Government spending,16
Government trust funds,44
Governmental investigations,5
Grading (Agricultural products),7
Graduate education,1
Grain,16
Grain embargo,5
Grain inspection,13
Grain storage,18
Grain trade,6
Grand jury,13
Grants-in-aid,4
Grassland ecology,2
Grazing,11
Great Lakes,20
Grocery trade,1
Groundwater,2
Group insurance,2
Guaranteed annual income,4
Guided missiles,2
Habeas corpus,21
Hallucinogenic drugs,3
Handicraft,1
Harbors,69
Hawaiians,6
Hazardous waste disposal,28
Hazardous wastes,10
Health,15824
Health education,20
Health facilities,34
Health insurance,122
Health maintenance organizations,20
Health planning,28
Health services administration,11
Heart diseases,3
Heating,16
Helicopters,2
Helium,8
Herbicides,2
Hereditary diseases,1
Higher education,485
Highspeed ground transportation,1
Highway beautification,11
Highway engineering,21
Highway finance,43
Highway maintenance,10
Highway relocation,6
Highway use tax,32
Hijacking,2
Historic sites,860
History,54
Hobbies,8
Holding companies,4
Holidays,353
Home care services,30
Home equity conversion,3
Home nursing,2
Home ownership,7
Home repair and improvement,42
Home video systems,1
Homestead law,6
Homicide,25
Homosexuality,11
Honey,7
Horse racing,6
Horses,26
Horticulture,4
Hospices (Terminal care),1
Hospital care,1
Hospital rates,11
Hospital ships,10
Hospitals,63
Hostages,33
Hours of labor,18
House of Representatives,2787
House rules and procedure,1909
Household moving,8
Household workers,1
Housing and community development,2527
Housing authorities,1
Housing finance,57
Housing for the aged,47
Housing for the handicapped,1
Housing policy,2
Housing subsidies,20
Human experimentation in medicine,6
Human fertility,3
Human rights,12
Hunger,17
Hunting,27
Hydraulic engineering,7
Hydroelectric power,67
Hydrogen as fuel,4
Hypertension,1
Ice breaking operations,3
Identification devices,1
Illegal aliens,15
Illiteracy,2
Immigration,3682
Immigration law,52
Immunities of foreign states,1
Immunology,6
Impacted area programs,18
Impeachments,97
Import restrictions,213
Imports,283
Income maintenance programs,12
Income tax,5639
Indemnity,2
Independent regulatory commissions,249
Indexing (Economic policy),2
Indian claims,189
Indian courts,1
Indian education,1
Indian hunting and fishing rights,4
Indian lands,241
Indian water rights,9
Individual retirement accounts,13
Industrial arbitration,2
Industrial design,1
Industrial development bonds,14
Industrial energy conservation,9
Industrial management,4
Industrial pollution,1
Industrial production,2
Industrial promotion,1
Industrial relations,60
Industrial research,6
Industrialization,3
Industry,32
Infant formulas,8
Inflation,31
Influenza,4
Information disclosure (Securities law),1
Information leaking,17
Information policy,3
Information services,37
Information storage and retrieval systems,3
Informers,3
Infrastructure,4
Injunctions,1
Inland water transportation,21
Insanity,1
Insanity defense,36
Insect control,6
Insects,1
Inspectors general,4
Institutional investments,2
Insurance,65
Insurance companies,4
Intellectual property,89
Interbasin transfers,1
Intercontinental ballistic missiles,2
Interest,17
Interest rates,75
Intergovernmental fiscal relations,33
Intergovernmental relations,192
Intergovernmental tax relations,26
Internal revenue,9
Internal revenue law,6
Internal security,16
International affairs,12878
International agencies,77
International arbitration,1
International banking,60
International control of nuclear power,33
International cooperation,13
International cooperation in astronautics,4
International cooperation in science,13
International corporations,12
International courts,20
International economic relations,13
International education,4
International environmental cooperation,6
International fishery management,2
International labor activities,7
International law,1
International military forces,6
International monetary system,9
International obligations,4
International organization,38
International relations,27
International relief,11
International trade,16
International trusteeships,3
Interoceanic canals,21
Interstate banking,3
Interstate commerce,8
Interstate commissions,1
Interstate compacts,175
Interstate highway system,79
Interstate land sales,10
Intracoastal waterways,3
Inventions,7
Investment advisers,1
Investment guaranty insurance,4
Investment of public funds,2
Investment tax credit,221
Investments,10
Iron and steel industry,34
Iron and steel prices,1
Irrigation,34
Irrigation districts,20
Islam,3
Islands,3
Israel,1
Item veto,28
Japan,1
Japanese Americans,15
Jewelry trade,1
Jewish holocaust (1939-1945),7
Jews,39
Joint diseases,4
Joint ventures,1
Journalism,2
Judges,137
Judicial compensation,20
Judicial districts,66
Judicial ethics,1
Judicial officers,15
Judicial opinions,3
Judicial power,1
Judicial reform,3
Judicial review of administrative acts,21
Judicial tenure,52
Juries,51
Jurisdiction,22
Juvenile corrections,4
Juvenile delinquency,47
Kidnapping,41
Kidney diseases,8
Labeling,76
Labeling laws,38
Labor and employment,4638
Labor disputes,50
Labor injunctions,2
Labor law and legislation,35
Labor policy,3
Labor productivity,9
Labor statistics,10
Labor union membership,56
Labor union organization and administration,7
Labor union political activities,2
Labor unions,78
Laboratories,1
Laboratory animals,25
Lakes,90
Land reform,1
Land tenure,1
Land transfers,256
Land use,43
Landlord and tenant,10
Landscape protection,5
Language and languages,2
Larceny,2
Lasers,2
Law,2592
Law enforcement officers,332
Lawyers,10
Lawyers and Legal Services,1
Layoffs,7
Lead,3
Lead poisoning,6
Lease and rental services,3
Leases,23
Leather industry,5
Leave of absence,1
Legal Services Corporation,30
Legal aid,6
Legal assistance to the aged,18
Legal assistance to the poor,7
Legal education,3
Legal ethics,1
Legal fees,65
Legal services,44
Legal services insurance,2
Legislation,61
Legislative amendments,4
Legislative bodies,2
Legislative procedure,11
Legislative resolutions,3
Legislative statistics,1
Liability (Law),1
Liability for aircraft accidents,3
Liability for environmental damages,7
Liability for marine accidents,5
Liability for nuclear damages,23
Liability for oil pollution,18
Liability for toxic substances pollution damages,17
Liability for water pollution damages,2
Libel and slander,5
Librarians,1
Libraries,146
Licenses,45
Life insurance,16
Lighthouses and lightships,1
Lighting,1
Limitation of actions,1
Liquefied natural gas,12
Liver diseases,1
Livestock,63
Livestock industry,26
Loans,20
Lobbying,135
Local finance,27
Local officials and employees,2
Local taxation,1
Location of industries,1
Longshoremen,12
Lotteries,94
Low-income housing,34
Loyalty oaths,2
Lumber trade,25
Lunar flight,1
Lung diseases,18
M-X missile,5
Machine guns,1
Magnetic recorders and recording,3
Magnetohydrodynamics,2
Mailing lists,20
Malpractice,15
Management,5
Mandatory retirement,5
Manganese,1
Manned undersea research stations,1
Manpower policy,6
Manpower training programs,130
Manpower utilization,12
Margarine,9
Marijuana,29
"Marine and coastal resources, fisheries",146
Marine animals,1
Marine corps,1
Marine ecology,1
Marine engineering,1
Marine insurance,5
Marine mammal protection,103
Marine mammals,14
Marine mineral resources,8
Marine parks and reserves,11
Marine pollution,25
Marine resources conservation,40
Marine safety,28
Marine terminals,4
Marine transportation,363
Marines,1
Maritime law,15
Maritime operations,7
Marketing,2
Marketing of farm produce,35
Marriage,1
Martial law,4
Mass rapid transit,134
Materials,3
Materials policy,7
Maternal and infant welfare,30
Maternal health services,9
Meat,111
Meat inspection,27
Meat packing industry,20
Medicaid,224
Medicaid fraud,8
Medical associations,2
"Medical care, personnel, and facilities",7
Medical centers,9
Medical economics,6
Medical education,33
Medical ethics,3
Medical fees,1
Medical innovations,2
Medical laboratories,8
Medical law and legislation,1
Medical libraries,4
Medical malpractice insurance,5
Medical personnel,18
Medical policy,2
Medical records,16
Medical research,104
Medical screening,4
Medical statistics,1
Medical students,1
Medical supplies,23
Medicare,922
Medicated feeds,3
Meditation,2
Members of Congress,205
Members of Congress (House),113
Members of Congress (Senate),34
Memorial Day,5
Mental care facilities,12
Mental health,64
Mental health services,5
Mental illness,24
Mentally handicapped,21
Mentally handicapped children,5
Merchant marine,82
Merchant marine legislation,5
Merchant seamen,12
Merchant ships,8
Metal trade,1
Metallurgy,2
Metals,9
Meteorological research,3
Meteorological satellites,7
Meteorology,1
Methane,4
Methanol,4
Metric system,50
Metropolitan areas,7
Metropolitan politics and government,1
Migrant labor,13
Migratory bird conservation,13
Military agreements,1
Military aircraft,7
Military airlift,1
Military and naval supplies,7
Military assistance,1
Military bases,67
Military chaplains,2
Military command and control,7
Military construction operations,53
Military dependents,57
Military discharges,37
Military education,36
Military engineering,1
Military hospitals,9
Military housing,14
Military intervention,3
Military law,52
Military leave,4
"Military medals, decorations, etc.",27
Military medicine,95
Military occupation,6
Military pay,123
Military pensions,625
Military personnel,279
Military policy,12
Military posture,4
Military promotions,1
Military strategy,1
Military training,5
Military transportation,3
Milk,93
Mine safety,68
Mine wastes,3
Mineral industries,4
Mineral reserves,1
Mineral resources conservation,6
Mineralogical research,1
Miners,9
Mines and mineral resources,319
Minimum tax,3
Minimum wages,76
Mining claims,7
Mining leases,16
Mining royalties,1
Minorities,309
Minorities in mass media,9
Minority business enterprises,24
Minority education,4
Minority employment,1
Misconduct in office,10
Missing in action,24
Missionaries,1
Missouri River development,2
Mobile homes,25
Monetary policy,36
Money,375
Money supply,3
Monuments and memorials,706
Moratorium,1
Mortgage banks,2
Mortgage guaranty insurance,13
Mortgage interest rates,15
Mortgage loans,18
Mortgages,104
Most favored nation principle,16
Motion pictures,24
Motor buses,4
Motor carrier rates,1
Motor transportation,23
Motor vehicle pollution control,69
Motor vehicle registration,2
Motor vehicle safety,16
Motor vehicles,496
Motorcycles,1
Mountains,2
Multiunit collective bargaining,1
Municipal budgets,2
Municipal buildings,8
Municipal finance,52
Municipal home rule,5
Municipal officials and employees,12
Municipal politics and government,18
Municipal services,4
Municipal taxation,2
Museums,161
Music,14
Mutual funds,2
N/A,941
NATO countries,2
NATO military forces,4
NOW accounts,5
Names,24
Narcotic addiction,20
Narcotic addicts,12
Narcotic law and legislation,69
Narcotic traffic,91
